Keyword,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Branded,Local,Navigational,Informational,Commercial,Transactional
cosmetic implant dentistry,"Local teaser, People also ask, Thumbnail, Discussions and forums, Videos",100,35,3.57,41,0,2,https://cosmeticimplantdentistrykc.com/,,2025-02-09 12:19:39,false,false,false,false,true,true
cosmetic dentist kansas city,"Local teaser, Thumbnail, People also ask, Video preview",60,28,5.00,21,0,2,https://cosmeticimplantdentistrykc.com/,,2025-02-20 00:30:08,false,true,false,false,true,true
dental implants kansas city,"Local teaser, People also ask, Thumbnail, Video preview",150,21,4.95,17,0,5,https://cosmeticimplantdentistrykc.com/,,2025-02-21 22:09:53,false,true,false,true,true,false
kansas city dentistry,"Local pack, People also ask, Thumbnail",150,47,3.58,14,0,5,https://cosmeticimplantdentistrykc.com/,,2025-02-22 22:34:30,false,true,false,false,true,true
dentistry kansas city,"Local teaser, Thumbnail, People also ask",80,38,5.44,14,0,3,https://cosmeticimplantdentistrykc.com/,,2025-02-09 01:27:04,false,true,false,false,true,true
dental implants kansas city mo,"Local teaser, People also ask, Thumbnail, Video preview",100,13,8.36,14,0,5,https://cosmeticimplantdentistrykc.com/,,2025-02-21 05:50:30,false,true,false,true,true,true
dr. jackson dentist,"Local pack, Video preview",200,7,2.64,13,0,4,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-12 14:41:01,false,false,true,false,true,true
kansas city dentist,"Local teaser, Thumbnail, Video preview",250,39,4.18,11,0,10,https://cosmeticimplantdentistrykc.com/,,2025-02-26 06:47:49,false,true,false,false,true,true
best dentist kansas city,"Local teaser, Discussions and forums, People also ask, Video preview",150,27,3.39,10,0,6,https://cosmeticimplantdentistrykc.com/,,2025-02-14 05:15:42,false,true,false,true,true,false
dentures kansas city,"Local pack, People also ask, Video preview",80,2,4.49,10,0,4,https://cosmeticimplantdentistrykc.com/services/prosthetics/dentures/,,2025-02-17 18:34:06,false,true,false,true,true,false
cosmetic dentistry kansas city,"Local teaser, People also ask, Thumbnail, Video preview",60,36,5.00,9,0,3,https://cosmeticimplantdentistrykc.com/,,2025-02-21 09:59:34,false,true,false,false,true,true
veneers kansas city,"Local teaser, People also ask, Video preview",70,0,2.17,9,0,4,https://cosmeticimplantdentistrykc.com/,,2025-02-23 06:30:26,false,true,false,true,true,false
best implant dentist near me,"Local teaser, People also ask, Video preview",600,10,6.00,7,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-22 08:16:51,false,true,false,false,true,true
what is a crooked smile,"AI overview, Thumbnail, People also ask, Video preview",200,0,,7,0,10,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-13 06:21:56,false,false,false,true,false,false
dentist in kansas city,"Local teaser, Thumbnail, Video preview",250,41,4.93,6,0,11,https://cosmeticimplantdentistrykc.com/,,2025-02-23 08:22:56,false,true,false,false,true,true
cosmetic implant,"Local teaser, People also ask, Discussions and forums, Videos, Thumbnail",40,26,3.00,6,0,4,https://cosmeticimplantdentistrykc.com/,,2025-02-09 12:07:19,false,false,false,true,true,false
implant and cosmetic dentistry,"Local teaser, People also ask, Thumbnail",100,22,3.57,6,0,8,https://cosmeticimplantdentistrykc.com/,,2025-02-18 19:54:16,false,false,false,true,true,false
david jackson dds,"People also ask, Video preview",60,0,2.53,6,0,4,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-24 09:15:21,false,false,true,true,true,false
oral surgeon free consultation,"Local pack, People also ask",100,0,1.75,5,0,9,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-14 04:23:47,false,false,false,true,true,true
